"Plot Title: Goose"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10636493, SEN S/N: 10636493)","Intensity, Lux (LGR S/N: 10636493, SEN S/N: 10636493)","Host Connected (LGR S/N: 10636493)","Coupler Attached (LGR S/N: 10636493)","Stopped (LGR S/N: 10636493)","End Of File (LGR S/N: 10636493)"
227,05/02/18 09:40:00 PM,18.711,0.0,,,,
228,05/02/18 09:50:00 PM,18.426,0.0,,,,
229,05/02/18 10:00:00 PM,18.331,0.0,,,,
230,05/02/18 10:10:00 PM,18.236,0.0,,,,
231,05/02/18 10:20:00 PM,18.236,0.0,,,,
232,05/02/18 10:30:00 PM,18.236,0.0,,,,
233,05/02/18 10:40:00 PM,18.236,0.0,,,,
234,05/02/18 10:50:00 PM,18.140,0.0,,,,
235,05/02/18 11:00:00 PM,18.331,0.0,,,,
236,05/02/18 11:10:00 PM,18.806,0.0,,,,
237,05/02/18 11:20:00 PM,18.711,0.0,,,,
238,05/02/18 11:30:00 PM,18.616,0.0,,,,
239,05/02/18 11:40:00 PM,19.662,0.0,,,,
240,05/02/18 11:50:00 PM,22.908,0.0,,,,
241,05/03/18 12:00:00 AM,23.581,0.0,,,,
242,05/03/18 12:10:00 AM,23.677,0.0,,,,
243,05/03/18 12:20:00 AM,23.581,0.0,,,,
244,05/03/18 12:30:00 AM,23.581,0.0,,,,
245,05/03/18 12:40:00 AM,23.581,0.0,,,,
246,05/03/18 12:50:00 AM,23.484,0.0,,,,
247,05/03/18 01:00:00 AM,23.292,0.0,,,,
248,05/03/18 01:10:00 AM,19.948,0.0,,,,
249,05/03/18 01:20:00 AM,19.662,0.0,,,,
250,05/03/18 01:30:00 AM,19.948,0.0,,,,
251,05/03/18 01:40:00 AM,20.519,0.0,,,,
252,05/03/18 01:50:00 AM,20.519,0.0,,,,
253,05/03/18 02:00:00 AM,20.805,0.0,,,,
254,05/03/18 02:10:00 AM,20.138,0.0,,,,
255,05/03/18 02:20:00 AM,21.282,0.0,,,,
256,05/03/18 02:30:00 AM,21.187,0.0,,,,
257,05/03/18 02:40:00 AM,21.855,0.0,,,,
258,05/03/18 02:50:00 AM,20.138,0.0,,,,
259,05/03/18 03:00:00 AM,19.662,0.0,,,,
260,05/03/18 03:10:00 AM,19.662,0.0,,,,
261,05/03/18 03:20:00 AM,19.472,0.0,,,,
262,05/03/18 03:30:00 AM,19.282,0.0,,,,
263,05/03/18 03:40:00 AM,18.996,0.0,,,,
264,05/03/18 03:50:00 AM,18.616,0.0,,,,
265,05/03/18 04:00:00 AM,18.426,0.0,,,,
266,05/03/18 04:10:00 AM,18.331,0.0,,,,
267,05/03/18 04:20:00 AM,18.426,0.0,,,,
268,05/03/18 04:30:00 AM,18.521,0.0,,,,
269,05/03/18 04:40:00 AM,18.521,0.0,,,,
270,05/03/18 04:50:00 AM,18.616,0.0,,,,
271,05/03/18 05:00:00 AM,18.521,0.0,,,,
272,05/03/18 05:10:00 AM,18.331,0.0,,,,
273,05/03/18 05:20:00 AM,18.236,0.0,,,,
274,05/03/18 05:30:00 AM,18.331,43.1,,,,
275,05/03/18 05:40:00 AM,18.331,139.9,,,,
276,05/03/18 05:50:00 AM,18.236,301.4,,,,
277,05/03/18 06:00:00 AM,18.426,1259.4,,,,
278,05/03/18 06:10:00 AM,18.426,1808.3,,,,
279,05/03/18 06:20:00 AM,18.331,3788.9,,,,
280,05/03/18 06:30:00 AM,18.331,3961.1,,,,
281,05/03/18 06:40:00 AM,18.331,2755.6,,,,
282,05/03/18 06:50:00 AM,18.236,2497.2,,,,
283,05/03/18 07:00:00 AM,18.331,5166.7,,,,
284,05/03/18 07:10:00 AM,19.187,10333.4,,,,
285,05/03/18 07:20:00 AM,19.187,9644.5,,,,
286,05/03/18 07:30:00 AM,19.758,17911.2,,,,
287,05/03/18 07:40:00 AM,20.710,14466.8,,,,
288,05/03/18 07:50:00 AM,20.043,11711.2,,,,
289,05/03/18 08:00:00 AM,20.519,18600.1,,,,
290,05/03/18 08:10:00 AM,20.901,19289.0,,,,
291,05/03/18 08:20:00 AM,21.473,19289.0,,,,
292,05/03/18 08:30:00 AM,21.187,14466.8,,,,
293,05/03/18 08:40:00 AM,21.282,12400.1,,,,
294,05/03/18 08:50:00 AM,20.901,16533.4,,,,
295,05/03/18 09:00:00 AM,23.773,99200.7,,,,
296,05/03/18 09:10:00 AM,24.738,39955.8,,,,
297,05/03/18 09:20:00 AM,26.097,31689.1,,,,
298,05/03/18 09:30:00 AM,29.152,137778.7,,,,
299,05/03/18 09:40:00 AM,32.394,132267.5,,,,
300,05/03/18 09:50:00 AM,32.394,66133.8,,,,
301,05/03/18 10:00:00 AM,34.058,132267.5,,,,
302,05/03/18 10:10:00 AM,34.691,74400.5,,,,
303,05/03/18 10:20:00 AM,34.691,82667.2,,,,
304,05/03/18 10:30:00 AM,30.963,137778.7,,,,
305,05/03/18 10:40:00 AM,30.862,82667.2,,,,
306,05/03/18 10:50:00 AM,31.574,137778.7,,,,
307,05/03/18 11:00:00 AM,30.255,66133.8,,,,
308,05/03/18 11:10:00 AM,30.154,77156.1,,,,
309,05/03/18 11:20:00 AM,31.676,93689.5,,,,
310,05/03/18 11:30:00 AM,29.853,66133.8,,,,
311,05/03/18 11:40:00 AM,29.452,77156.1,,,,
312,05/03/18 11:50:00 AM,28.853,148801.0,,,,
313,05/03/18 12:00:00 PM,31.472,170845.6,,,,
314,05/03/18 12:10:00 PM,34.903,176356.7,,,,
315,05/03/18 12:20:00 PM,34.268,99200.7,,,,
316,05/03/18 12:30:00 PM,34.058,121245.2,,,,
317,05/03/18 12:40:00 PM,30.862,99200.7,,,,
318,05/03/18 12:50:00 PM,31.268,66133.8,,,,
319,05/03/18 01:00:00 PM,28.655,42711.4,,,,
320,05/03/18 01:10:00 PM,27.764,66133.8,,,,
321,05/03/18 01:20:00 PM,28.159,74400.5,,,,
322,05/03/18 01:30:00 PM,26.488,46844.8,,,,
323,05/03/18 01:40:00 PM,29.252,79911.6,,,,
324,05/03/18 01:50:00 PM,26.781,28933.5,,,,
325,05/03/18 02:00:00 PM,25.125,42711.4,,,,
326,05/03/18 02:10:00 PM,24.351,27555.7,,,,
327,05/03/18 02:20:00 PM,25.902,71644.9,,,,
328,05/03/18 02:30:00 PM,22.717,12400.1,,,,
329,05/03/18 02:40:00 PM,20.615,33066.9,,,,
330,05/03/18 02:50:00 PM,19.853,41333.6,,,,
331,05/03/18 03:00:00 PM,20.424,41333.6,,,,
332,05/03/18 03:10:00 PM,20.329,34444.7,,,,
333,05/03/18 03:20:00 PM,20.329,17222.3,,,,
334,05/03/18 03:30:00 PM,20.424,24800.2,,,,
335,05/03/18 03:40:00 PM,20.519,7577.8,,,,
336,05/03/18 03:50:00 PM,18.901,20666.8,,,,
337,05/03/18 04:00:00 PM,18.045,19289.0,,,,
338,05/03/18 04:10:00 PM,18.616,18600.1,,,,
339,05/03/18 04:20:00 PM,18.140,24800.2,,,,
340,05/03/18 04:30:00 PM,17.284,8611.2,,,,
341,05/03/18 04:40:00 PM,18.616,26178.0,,,,
342,05/03/18 04:50:00 PM,20.043,74400.5,,,,
343,05/03/18 05:00:00 PM,21.187,82667.2,,,,
344,05/03/18 05:10:00 PM,21.378,42711.4,,,,
345,05/03/18 05:20:00 PM,20.996,30311.3,,,,
346,05/03/18 05:30:00 PM,19.948,22044.6,,,,
347,05/03/18 05:40:00 PM,19.472,14466.8,,,,
348,05/03/18 05:50:00 PM,18.901,8611.2,,,,
349,05/03/18 06:00:00 PM,18.711,7577.8,,,,
350,05/03/18 06:10:00 PM,18.711,9300.1,,,,
351,05/03/18 06:20:00 PM,18.711,15155.7,,,,
352,05/03/18 06:30:00 PM,18.521,4133.4,,,,
353,05/03/18 06:40:00 PM,18.236,3961.1,,,,
354,05/03/18 06:50:00 PM,18.045,2238.9,,,,
355,05/03/18 07:00:00 PM,17.950,1636.1,,,,
356,05/03/18 07:10:00 PM,18.140,1980.6,,,,
357,05/03/18 07:20:00 PM,18.140,1076.4,,,,
358,05/03/18 07:30:00 PM,18.140,301.4,,,,
359,05/03/18 07:40:00 PM,18.045,161.5,,,,
360,05/03/18 07:50:00 PM,18.045,32.3,,,,
361,05/03/18 08:00:00 PM,17.760,0.0,,,,
362,05/03/18 08:10:00 PM,17.855,0.0,,,,
363,05/03/18 08:20:00 PM,17.950,0.0,,,,
364,05/03/18 08:30:00 PM,17.950,0.0,,,,
365,05/03/18 08:40:00 PM,17.950,0.0,,,,
366,05/03/18 08:50:00 PM,18.045,0.0,,,,
367,05/03/18 09:00:00 PM,17.950,0.0,,,,
368,05/03/18 09:10:00 PM,17.665,0.0,,,,
369,05/03/18 09:20:00 PM,17.855,0.0,,,,
370,05/03/18 09:30:00 PM,17.760,0.0,,,,
371,05/03/18 09:40:00 PM,17.760,0.0,,,,
372,05/03/18 09:50:00 PM,17.855,0.0,,,,
373,05/03/18 10:00:00 PM,17.855,0.0,,,,
374,05/03/18 10:10:00 PM,17.855,0.0,,,,
375,05/03/18 10:20:00 PM,17.855,0.0,,,,
376,05/03/18 10:30:00 PM,17.855,0.0,,,,
377,05/03/18 10:40:00 PM,17.855,0.0,,,,
378,05/03/18 10:50:00 PM,17.760,0.0,,,,
379,05/03/18 11:00:00 PM,17.855,0.0,,,,
380,05/03/18 11:10:00 PM,17.760,0.0,,,,
381,05/03/18 11:20:00 PM,17.855,0.0,,,,
382,05/03/18 11:30:00 PM,17.665,0.0,,,,
383,05/03/18 11:40:00 PM,17.570,0.0,,,,
384,05/03/18 11:50:00 PM,17.570,0.0,,,,
385,05/04/18 12:00:00 AM,17.760,0.0,,,,
386,05/04/18 12:10:00 AM,17.760,0.0,,,,
387,05/04/18 12:20:00 AM,17.855,0.0,,,,
388,05/04/18 12:30:00 AM,17.284,0.0,,,,
389,05/04/18 12:40:00 AM,17.475,0.0,,,,
390,05/04/18 12:50:00 AM,17.665,0.0,,,,
391,05/04/18 01:00:00 AM,17.665,0.0,,,,
392,05/04/18 01:10:00 AM,17.475,0.0,,,,
393,05/04/18 01:20:00 AM,17.379,0.0,,,,
394,05/04/18 01:30:00 AM,17.475,0.0,,,,
395,05/04/18 01:40:00 AM,17.379,0.0,,,,
396,05/04/18 01:50:00 AM,17.379,0.0,,,,
397,05/04/18 02:00:00 AM,17.284,0.0,,,,
398,05/04/18 02:10:00 AM,17.379,0.0,,,,
399,05/04/18 02:20:00 AM,17.379,0.0,,,,
400,05/04/18 02:30:00 AM,17.379,0.0,,,,
401,05/04/18 02:40:00 AM,17.475,0.0,,,,
402,05/04/18 02:50:00 AM,17.284,0.0,,,,
403,05/04/18 03:00:00 AM,17.189,0.0,,,,
404,05/04/18 03:10:00 AM,17.189,0.0,,,,
405,05/04/18 03:20:00 AM,17.189,0.0,,,,
406,05/04/18 03:30:00 AM,17.284,0.0,,,,
407,05/04/18 03:40:00 AM,17.189,0.0,,,,
408,05/04/18 03:50:00 AM,17.284,0.0,,,,
409,05/04/18 04:00:00 AM,17.189,0.0,,,,
410,05/04/18 04:10:00 AM,16.903,0.0,,,,
411,05/04/18 04:20:00 AM,16.808,0.0,,,,
412,05/04/18 04:30:00 AM,16.999,0.0,,,,
413,05/04/18 04:40:00 AM,16.999,0.0,,,,
414,05/04/18 04:50:00 AM,17.094,0.0,,,,
415,05/04/18 05:00:00 AM,16.999,0.0,,,,
416,05/04/18 05:10:00 AM,16.999,0.0,,,,
417,05/04/18 05:20:00 AM,16.999,0.0,,,,
418,05/04/18 05:30:00 AM,17.094,96.9,,,,
419,05/04/18 05:40:00 AM,16.999,258.3,,,,
420,05/04/18 05:50:00 AM,16.903,968.8,,,,
421,05/04/18 06:00:00 AM,16.999,2927.8,,,,
422,05/04/18 06:10:00 AM,17.094,9300.1,,,,
423,05/04/18 06:20:00 AM,17.379,10677.8,,,,
424,05/04/18 06:30:00 AM,17.665,11022.3,,,,
425,05/04/18 06:40:00 AM,18.045,9644.5,,,,
426,05/04/18 06:50:00 AM,18.236,14466.8,,,,
427,05/04/18 07:00:00 AM,19.282,18600.1,,,,
428,05/04/18 07:10:00 AM,21.855,22044.6,,,,
429,05/04/18 07:20:00 AM,22.908,24800.2,,,,
430,05/04/18 07:30:00 AM,23.004,28933.5,,,,
431,05/04/18 07:40:00 AM,23.677,34444.7,,,,
432,05/04/18 07:50:00 AM,24.062,42711.4,,,,
433,05/04/18 08:00:00 AM,24.448,46844.8,,,,
434,05/04/18 08:10:00 AM,25.319,55111.5,,,,
435,05/04/18 08:20:00 AM,25.416,63378.2,,,,
436,05/04/18 08:30:00 AM,24.351,20666.8,,,,
437,05/04/18 08:40:00 AM,23.196,30311.3,,,,
438,05/04/18 08:50:00 AM,24.062,85422.8,,,,
439,05/04/18 09:00:00 AM,27.468,93689.5,,,,
440,05/04/18 09:10:00 AM,27.272,104711.8,,,,
441,05/04/18 09:20:00 AM,28.754,110223.0,,,,
442,05/04/18 09:30:00 AM,29.252,121245.2,,,,
443,05/04/18 09:40:00 AM,27.665,44089.2,,,,
444,05/04/18 09:50:00 AM,28.655,137778.7,,,,
445,05/04/18 10:00:00 AM,27.272,52355.9,,,,
446,05/04/18 10:10:00 AM,29.053,143289.8,,,,
447,05/04/18 10:20:00 AM,25.805,52355.9,,,,
448,05/04/18 10:30:00 AM,27.961,44089.2,,,,
449,05/04/18 10:40:00 AM,33.743,170845.6,,,,
450,05/04/18 10:50:00 AM,37.274,176356.7,,,,
451,05/04/18 11:00:00 AM,34.268,137778.7,,,,
452,05/04/18 11:10:00 AM,32.807,176356.7,,,,
453,05/04/18 11:20:00 AM,34.268,187379.0,,,,
454,05/04/18 11:30:00 AM,34.163,187379.0,,,,
455,05/04/18 11:40:00 AM,34.374,121245.2,,,,
456,05/04/18 11:50:00 AM,36.511,187379.0,,,,
457,05/04/18 12:00:00 PM,34.903,187379.0,,,,
